periodo,anio,trimestre,ambito,indicador,valor,unidad
2025,2025,,Unión Europea (27),Percentage. Total. From 18 to 24 years. Males,9.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 18 to 24 years. Total,10.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 18 to 64 years. Females,7.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 18 to 64 years. Males,7.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 18 to 64 years. Total,7.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 20 to 24 years. Females,11.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 20 to 24 years. Males,10.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 20 to 24 years. Total,11.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 20 to 29 years. Females,10.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 20 to 29 years. Males,10.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 20 to 29 years. Total,10.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 25 to 29 years. Females,9.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 25 to 29 years. Males,9.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 25 to 29 years. Total,9.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 6 to 11 years. Females,6.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 6 to 11 years. Males,6.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 6 to 11 years. Total,6.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. 65 years or over. Females,9.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. 65 years or over. Males,6.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. 65 years or over. Total,8.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. Less than 18 years. Females,6.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. Less than 18 years. Males,6.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. Less than 18 years. Total,6.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. Less than 6 years. Females,6.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. Less than 6 years. Males,6.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. Less than 6 years. Total,6.7,Percentage
2025,2025,,España,Percentage. Above 60%. Total. Females,2.2,Percentage
2025,2025,,España,Percentage. Above 60%. Total. Males,2.0,Percentage
2025,2025,,España,Percentage. Above 60%. Total. Total,2.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 12 to 17 years. Females,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 12 to 17 years. Males,1.4,Percentage
2025,2025,,España,Percentage. Above 60%. From 12 to 17 years. Total,1.3,Percentage
2025,2025,,España,Percentage. Above 60%. From 15 to 19 years. Females,0.9,Percentage
2025,2025,,España,Percentage. Above 60%. From 15 to 19 years. Males,1.0,Percentage
2025,2025,,España,Percentage. Above 60%. From 15 to 19 years. Total,1.0,Percentage
