periodo,anio,trimestre,ambito,indicador,valor,unidad
2020,2020,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2025=100",72.81,"Annual average index, 2025=100"
2020,2020,,Unión Europea (27),Purchases of newly built dwellings. Annual average rate of change,5.1,Annual average rate of change
2020,2020,,Unión Europea (27),"Total. Annual average index, 2015=100",127.14,"Annual average index, 2015=100"
2020,2020,,Unión Europea (27),"Total. Annual average index, 2025=100",78.51,"Annual average index, 2025=100"
2020,2020,,Unión Europea (27),Total. Annual average rate of change,5.6,Annual average rate of change
2020,2020,,España,"Purchases of existing dwellings. Annual average index, 2015=100",125.79,"Annual average index, 2015=100"
2020,2020,,España,"Purchases of existing dwellings. Annual average index, 2025=100",71.39,"Annual average index, 2025=100"
2020,2020,,España,Purchases of existing dwellings. Annual average rate of change,1.4,Annual average rate of change
2020,2020,,España,"Purchases of newly built dwellings. Annual average index, 2015=100",137.47,"Annual average index, 2015=100"
2020,2020,,España,"Purchases of newly built dwellings. Annual average index, 2025=100",66.59,"Annual average index, 2025=100"
2020,2020,,España,Purchases of newly built dwellings. Annual average rate of change,6.5,Annual average rate of change
2020,2020,,España,"Total. Annual average index, 2015=100",127.5,"Annual average index, 2015=100"
2020,2020,,España,"Total. Annual average index, 2025=100",70.6,"Annual average index, 2025=100"
2020,2020,,España,Total. Annual average rate of change,2.2,Annual average rate of change
2019,2019,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2015=100",120.91,"Annual average index, 2015=100"
2019,2019,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2025=100",75.74,"Annual average index, 2025=100"
2019,2019,,Unión Europea (27),Purchases of existing dwellings. Annual average rate of change,4.9,Annual average rate of change
2019,2019,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2015=100",118.19,"Annual average index, 2015=100"
2019,2019,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2025=100",69.26,"Annual average index, 2025=100"
2019,2019,,Unión Europea (27),Purchases of newly built dwellings. Annual average rate of change,4.8,Annual average rate of change
2019,2019,,Unión Europea (27),"Total. Annual average index, 2015=100",120.4,"Annual average index, 2015=100"
2019,2019,,Unión Europea (27),"Total. Annual average index, 2025=100",74.36,"Annual average index, 2025=100"
2019,2019,,Unión Europea (27),Total. Annual average rate of change,4.9,Annual average rate of change
2019,2019,,España,"Purchases of existing dwellings. Annual average index, 2015=100",124.0,"Annual average index, 2015=100"
2019,2019,,España,"Purchases of existing dwellings. Annual average index, 2025=100",70.37,"Annual average index, 2025=100"
2019,2019,,España,Purchases of existing dwellings. Annual average rate of change,4.8,Annual average rate of change
2019,2019,,España,"Purchases of newly built dwellings. Annual average index, 2015=100",129.1,"Annual average index, 2015=100"
2019,2019,,España,"Purchases of newly built dwellings. Annual average index, 2025=100",62.53,"Annual average index, 2025=100"
2019,2019,,España,Purchases of newly built dwellings. Annual average rate of change,7.5,Annual average rate of change
2019,2019,,España,"Total. Annual average index, 2015=100",124.71,"Annual average index, 2015=100"
2019,2019,,España,"Total. Annual average index, 2025=100",69.05,"Annual average index, 2025=100"
2019,2019,,España,Total. Annual average rate of change,5.2,Annual average rate of change
2018,2018,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2015=100",115.28,"Annual average index, 2015=100"
2018,2018,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2025=100",72.21,"Annual average index, 2025=100"
2018,2018,,Unión Europea (27),Purchases of existing dwellings. Annual average rate of change,5.0,Annual average rate of change
2018,2018,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2015=100",112.79,"Annual average index, 2015=100"
2018,2018,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2025=100",66.09,"Annual average index, 2025=100"
2018,2018,,Unión Europea (27),Purchases of newly built dwellings. Annual average rate of change,5.0,Annual average rate of change
2018,2018,,Unión Europea (27),"Total. Annual average index, 2015=100",114.81,"Annual average index, 2015=100"
2018,2018,,Unión Europea (27),"Total. Annual average index, 2025=100",70.9,"Annual average index, 2025=100"
2018,2018,,Unión Europea (27),Total. Annual average rate of change,5.0,Annual average rate of change
2018,2018,,España,"Purchases of existing dwellings. Annual average index, 2015=100",118.34,"Annual average index, 2015=100"
2018,2018,,España,"Purchases of existing dwellings. Annual average index, 2025=100",67.16,"Annual average index, 2025=100"
2018,2018,,España,Purchases of existing dwellings. Annual average rate of change,6.8,Annual average rate of change
2018,2018,,España,"Purchases of newly built dwellings. Annual average index, 2015=100",120.05,"Annual average index, 2015=100"
2018,2018,,España,"Purchases of newly built dwellings. Annual average index, 2025=100",58.15,"Annual average index, 2025=100"
2018,2018,,España,Purchases of newly built dwellings. Annual average rate of change,6.3,Annual average rate of change
2018,2018,,España,"Total. Annual average index, 2015=100",118.58,"Annual average index, 2015=100"
2018,2018,,España,"Total. Annual average index, 2025=100",65.66,"Annual average index, 2025=100"
2018,2018,,España,Total. Annual average rate of change,6.7,Annual average rate of change
