Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2020;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;405;Número;
2020;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;686;Número;
2021;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;659839.8;Miles euros;
2021;Valor de las transacciones de suelo urbano;Otros;;;865641.3;Miles euros;
2021;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;205801.5;Miles euros;
2021;Superficie de las transacciones de suelo urbano;Otros;;;3580.9;Miles m2;
2021;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;2264.3;Miles m2;
2021;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;1316.6;Miles m2;
2021;Transacciones de suelo urbano;Otros;;;2313;Número;
2021;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;1289;Número;
2021;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1024;Número;
2022;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;929690.2;Miles euros;
2022;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;196984.1;Miles euros;
2022;Valor de las transacciones de suelo urbano;Otros;;;1126674.3;Miles euros;
2022;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;1104.7;Miles m2;
2022;Superficie de las transacciones de suelo urbano;Otros;;;3694.4;Miles m2;
2022;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;2589.7;Miles m2;
2022;Transacciones de suelo urbano;Otros;;;2279;Número;
2022;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;1022;Número;
2022;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1257;Número;
2023;Valor de las transacciones de suelo urbano;Otros;;;560897.0;Miles euros;
2023;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;433815.8;Miles euros;
2023;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;127081.2;Miles euros;
2023;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;706.4;Miles m2;
2023;Superficie de las transacciones de suelo urbano;Otros;;;2166.5;Miles m2;
2023;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1460.2;Miles m2;
2023;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;584;Número;
2023;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;565;Número;
2023;Transacciones de suelo urbano;Otros;;;1149;Número;
2024;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;342299.4;Miles euros;
2024;Valor de las transacciones de suelo urbano;Otros;;;487558.1;Miles euros;
2024;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;145258.8;Miles euros;
2024;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;829.1;Miles m2;
2024;Superficie de las transacciones de suelo urbano;Otros;;;1895.6;Miles m2;
2024;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1066.5;Miles m2;
2024;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;486;Número;
2024;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;748;Número;
2024;Transacciones de suelo urbano;Otros;;;1234;Número;
2025;Valor de las transacciones de suelo urbano;Otros;;;756237.9;Miles euros;
2025;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;572011.0;Miles euros;
2025;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;184227.0;Miles euros;
2025;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1645.0;Miles m2;
2025;Superficie de las transacciones de suelo urbano;Otros;;;2712.3;Miles m2;
2025;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;1067.0;Miles m2;
2025;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;1081;Número;
2025;Transacciones de suelo urbano;Otros;;;1924;Número;
2025;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;843;Número;
